Year, specR, connR 
1995, 0.142857142857143, 0.086936073424209
1996, 0.142857142857143, 0.086322355029319
1997, 0.185134376486008, 0.138605377827024
1998, 0.183068114449360, 0.123856254058535
1999, 0.142857142857143, 0.116919945125772
2000, 0.142857142857143, 0.003220525584621
2001, 0.142857142857143, 0.001583912788138
2002, 0.142857142857143, 0.010723905722245
2003, 0.142857142857143, 0.097653793413571
2004, 0.338540597479800, 0.336582167369405
2005, 0.162482869610545, 0.025692241513024
2006, 0.195146486254920, 0.200837363179263
2007, 0.315868316942578, 0.337987847541416
2008, 0.195146486254920, 0.198345235310121
2009, 0.142857142857143, 0.098463911758687
2010, 0.291826488488530, 0.331235292996192
2011, 0.285714285714286, 0.297431187941169
2012, 0.285714285714286, 0.326873815610272
