Conference, Year, specR, hillR, EloCorrCoef
Big East, 1995, 0.8571428571428571, 0.8443606701940035, 0.9993019359193466
Big East, 1996, 0.8571428571428572, 0.9300941306755259, 0.998530496039714
Big East, 1997, 0.8148656235139924, 0.538301282051282, 0.9970198836985038
Big East, 1998, 0.8169318855506389, 0.7081225198412698, 0.9989517471554824
Big East, 1999, 0.8571428571428571, 0.7082630621693122, 0.9980283137613191
Big East, 2000, 0.8571428571428571, 0.8862757034632035, 0.9986213441376111
Big East, 2001, 0.8571428571428572, 0.9300941306755259, 0.9992478452935806
Big East, 2002, 0.8571428571428572, 0.8862757034632035, 0.9987228699432764
Big East, 2003, 0.857142857142857, 0.7658814589665653, 0.997186248768367
Big East, 2004, 0.6614594025201999, 0.4402116402116402, 0.9938636095095487
Big East, 2005, 0.8375171303894551, 0.744459219858156, 0.9977196826627673
Big East, 2006, 0.8048535137450802, 0.6398730158730159, 0.9963365682164396
Big East, 2007, 0.6841316830574222, 0.3682017543859649, 0.9946012169673927
Big East, 2008, 0.8048535137450802, 0.6732689504373177, 0.9974597109392451
Big East, 2009, 0.8571428571428572, 0.7079117063492064, 0.9981347712316511
Big East, 2010, 0.7081735115114698, 0.4544101731601731, 0.9952355044683558
Big East, 2011, 0.7142857142857142, 0.5091307277628032, 0.9964730495133111
Big East, 2012, 0.7142857142857144, 0.5088274932614555, 0.9950589052711948
